ticker,last_date,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason
TATASTEEL.NS,2025-09-12,2025-09-12,169.78,0.333,True,isotonic,0.55,True,HOLD,,,3.105,66.53,23316439,Basic Materials,Steel,,False,False,False,True,0.0183,True,True,,
MARUTI.NS,2025-09-12,2025-09-12,15325.0,0.0,True,isotonic,0.55,True,HOLD,,,271.7,74.281,633434,Consumer Cyclical,Auto Manufacturers,,False,False,False,True,0.0177,True,True,,
NYKAA.NS,2025-09-12,2025-09-12,239.17,0.357,True,isotonic,0.56,True,HOLD,,,6.156,62.28,6899850,Consumer Cyclical,Internet Retail,,False,False,False,True,0.0257,True,True,,
PRESTIGE.NS,2025-09-12,2025-09-12,1549.7,0.52,True,isotonic,0.66,False,HOLD,,,41.612,42.002,584230,Real Estate,Real Estate - Diversified,,False,False,False,True,0.0269,True,True,,
IDEA.NS,2025-09-12,2025-09-12,7.66,0.301,True,isotonic,0.7,True,HOLD,,,0.307,66.084,497191222,Communication Services,Telecom Services,,True,False,False,False,0.04,True,True,,
SRF.NS,2025-09-12,2025-09-12,2971.7,0.439,True,isotonic,0.5,False,SELL,3033.08,2879.64,61.376,54.239,375907,Industrials,Conglomerates,1.5,False,False,False,False,0.0207,True,True,,
HDFCAMC.NS,2025-09-12,2025-09-12,5798.5,0.526,True,isotonic,0.45,True,HOLD,5681.1,5974.59,117.396,59.726,359780,Financial Services,Asset Management,1.5,False,False,False,True,0.0202,True,True,,
DIVISLAB.NS,2025-09-12,2025-09-12,6026.5,0.511,True,isotonic,0.55,False,HOLD,,,117.082,40.169,368000,Healthcare,Drug Manufacturers - Specialty & Generic,,False,True,False,False,0.0194,True,True,,
LT.NS,2025-09-12,2025-09-12,3579.8,0.371,True,isotonic,0.55,False,SELL,3630.93,3503.11,51.126,50.544,1269147,Industrials,Engineering & Construction,1.5,False,False,False,True,0.0143,True,True,,
NTPC.NS,2025-09-12,2025-09-12,331.7,0.435,True,isotonic,0.55,False,SELL,336.9,323.9,5.203,48.876,8372112,Utilities,Utilities - Regulated Electric,1.5,False,False,False,False,0.0157,True,True,,
